n,time_array_s,time_hash_s,reps,lo,hi,stat
10,0.00007133,0.00008127,3,-100,100,mean
20,0.00014027,0.00004540,3,-100,100,mean
30,0.00025070,0.00008067,3,-100,100,mean
40,0.00037660,0.00007850,3,-100,100,mean
50,0.00051487,0.00009157,3,-100,100,mean
60,0.00070453,0.00010997,3,-100,100,mean
70,0.00112837,0.00014540,3,-100,100,mean
80,0.00196823,0.00025020,3,-100,100,mean
90,0.00192533,0.00019193,3,-100,100,mean
100,0.00210533,0.00023107,3,-100,100,mean
110,0.00306807,0.00028867,3,-100,100,mean
120,0.00298133,0.00027153,3,-100,100,mean
130,0.00350140,0.00034217,3,-100,100,mean
140,0.00912433,0.00058687,3,-100,100,mean
150,0.00874060,0.00060083,3,-100,100,mean
160,0.01102240,0.00070287,3,-100,100,mean
170,0.01386950,0.00066890,3,-100,100,mean
180,0.00869493,0.00056523,3,-100,100,mean
190,0.01001467,0.00063067,3,-100,100,mean
200,0.01143907,0.00050827,3,-100,100,mean
210,0.01195947,0.00046563,3,-100,100,mean
220,0.02061047,0.00088883,3,-100,100,mean
230,0.02351343,0.00110780,3,-100,100,mean
240,0.02266553,0.00071607,3,-100,100,mean
250,0.02799997,0.00106360,3,-100,100,mean
260,0.03507590,0.00104523,3,-100,100,mean
270,0.02500593,0.00091020,3,-100,100,mean
280,0.03539413,0.00105627,3,-100,100,mean
290,0.02890767,0.00075523,3,-100,100,mean
300,0.03040587,0.00087227,3,-100,100,mean
310,0.03560070,0.00099713,3,-100,100,mean
320,0.02756070,0.00075463,3,-100,100,mean
330,0.04276407,0.00129473,3,-100,100,mean
340,0.03719887,0.00117593,3,-100,100,mean
350,0.05231640,0.00152653,3,-100,100,mean
360,0.05624573,0.00122633,3,-100,100,mean
370,0.06261017,0.00104913,3,-100,100,mean
380,0.04722993,0.00096053,3,-100,100,mean
390,0.04411427,0.00093567,3,-100,100,mean
400,0.04865230,0.00136153,3,-100,100,mean
